Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
11.29588662,0.1326242065,1.984573059,9.558822327
11.30591662,0.1134640503,2.008672943,9.487720184
11.31594762,0.1091230774,2.014810181,9.535321198
11.32597862,0.1197509766,2.020049286,9.558522949
11.33600862,0.09295669556,2.039209442,9.564660187
11.34603962,0.08592132568,2.003733215,9.563462677
11.35607062,0.0722996521,2.046244812,9.540709991
11.36610062,0.05688171387,2.057621155,9.538464661
11.37613162,0.05029541016,2.023342438,9.561816101
11.38616162,0.0375718689,2.026036835,9.544901276
11.39619262,0.0122744751,2.042652283,9.521998901
11.40622362,0.01437011719,2.031575317,9.53038147
11.41625362,0.007634124756,2.019151154,9.547146606
11.426285,-0.009280700684,2.048041077,9.531578979
11.436316,-0.01541793823,2.02888092,9.5233461
11.446346,-0.01317260742,2.01376236,9.547445984
11.456377,-0.01901046753,2.033072205,9.522897034
11.466408,-0.003293151855,2.039957886,9.552984467
11.476438,-0.01766326904,2.02543808,9.558522949
11.486469,-0.01451980591,2.046244812,9.521549835
11.4965,-0.002245330811,2.019151154,9.541009369
11.50653,-0.01571731567,2.007176056,9.536518707
11.516561,-0.01392105103,2.011966095,9.506880341
11.526591,-0.01182540894,1.999990997,9.516161041
11.536622,0.01047821045,1.999392242,9.530082092
11.546653,0.005538482666,2.001487885,9.503287811
11.556683,0.01886077881,1.983674927,9.521400146
11.566714,0.01496887207,1.965113525,9.512418823
11.576745,0.03203338623,1.981728973,9.510921936
11.586775,0.04550537109,1.998943176,9.533375244
11.596806,0.05104385376,1.984123993,9.539213104
11.606837,0.05583389282,1.978735199,9.527836761
11.616867,0.08637039185,2.003882904,9.536069641
11.626898,0.08502319336,1.995200958,9.53966217
11.636929,0.07514373779,2.002835083,9.550888824
11.646959,0.09086105347,2.002685394,9.567504272
11.65699,0.09565109253,2.016307068,9.536967773
11.66702,0.09520202637,2.005679169,9.544302521
11.677051,0.09849517822,2.022893372,9.548643494
11.687082,0.09684860229,2.018103333,9.563312988
11.697112,0.0896635437,2.043550415,9.561217346
11.707143,0.0904119873,2.051483917,9.557774506
11.717174,0.08936416626,2.040856018,9.521400146
11.727204,0.09669891357,2.033221893,9.510622559
11.737235,0.07708969116,2.029180298,9.496252441
11.747266,0.1077758789,2.014061737,9.458381195
11.757296,0.1327738953,2.005978546,9.446855164
11.767327,0.1350192261,1.99849411,9.44490921
11.777358,0.1504371643,1.982477417,9.429042206
11.787388,0.15328125,1.983824615,9.397457886
11.797419,0.1683998108,1.981429596,9.404942322
